uporabnisko_ime,geslo,email,kredibilnost,telefon,kraj_bivanja,sporocila
bkarolczyk0,$2a$04$HVEPg0NKU.twoJc64TIrLuje5vRTx.66sFP/x/.w6rFlqbgSlbqVy,djopp0@wix.com,27.6,4238266898,Roskoshnyy,
rdiament1,$2a$04$r8GdI/5A2CH3rYXPewprCut9FudS3rHpsgkh8z9JA5CDoAqBfceTm,cbreawood1@howstuffworks.com,9.9,7563899819,Zyuzino,
gdumke2,$2a$04$rcdWmIShMA3qHKb/BeprIOUxChUhjWbw7HES5/w1sMnXDwV.xL7yW,kgrebner2@go.com,69.1,,Mgachi,
pbaldry3,$2a$04$ukrc0PC.9XHoHgEKQF7mBu88HKxPt9R1QZSkS3qBmW9mNy8hDsazG,jhintzer3@nyu.edu,8.8,,Babakansari,
ecremen4,$2a$04$LubwzC/lE1KDl39DpOSWM.fdAI6FNJlT1h.2pYISJhUmC5vEtvJjK,salbrooke4@mysql.com,79.1,5691152471,Mañazo,
blodeke5,$2a$04$h0s1ycBXo5SQFmB.rS0A3ui1AXraoGkZTwodDu9CC/lGhXXAX5DJC,cnewgrosh5@prlog.org,3.6,,Sarmanovo,
nwadie6,$2a$04$ue1avUtWemKqLTNqmFEmRe4LoJu3A8elNiiQpeBLIMVYT59O7L2AG,ggiacobini6@shinystat.com,29.3,5663981555,Angers,
msallinger7,$2a$04$G5ayXeb6u9mss/l29wOuBuFnAO5ye6UE1gX46q8KO9tVSBj36Ftve,syosselevitch7@archive.org,56.5,8278251506,Usol’ye,
nklimek8,$2a$04$JGwvmRod8nM2gs8XU9tjNesZzl.ldLAMb4zsYSljreOGfqCDH6Gwi,qsivior8@canalblog.com,6.4,,Sevlievo,
sashbolt9,$2a$04$s5F6U3iQYAL83EaCx8zdb.2sPnNXzCFdHUJaypIPVMXxyb5UOzuv6,lgaenor9@shutterfly.com,24.8,,Agkathiá,
aloisia,$2a$04$AkIsheZ7H5EyrbF.gP/nse2BtQyUb3ihC/3XqHuq.hJfGy0.AirOS,dcollingridgea@issuu.com,40.3,,Boyeros,
ekirkhouseb,$2a$04$RJpzyZ6Ox4Rgak6LUFumouegCR5IdXnGf5k0pU1umgSNVpIc8hyy2,tborgarsb@tinypic.com,37.3,2464272904,Baiqi,
cbramc,$2a$04$7BwWnJWPNJR0dRJbxuLle.xWsmg6PI8JIy2u9hsEZbbPCcqImOUS6,brasorc@smh.com.au,52.3,6941914095,Cocobeach,
jmartensend,$2a$04$O9GIu2i8CTfQH1AX5pCg8u1zbkVrCTXoemamR05hJX8fQgbpqpUje,dpippingd@1688.com,40.7,5203303658,Jindui,
cgeroke,$2a$04$IrUZUm4nZQymnXAZN6I9WeAclEGD6Dr8dtD138yttyxuFL75KTtXm,cclitsomee@dot.gov,27.6,,Yingtou,
fpadellf,$2a$04$NHemjCclLMA7aKV.qtXwPup/wzaWB4sIKjD3ReO.6fMcFj/Y17sa6,kmeasef@sina.com.cn,81.7,7058413473,Mont-Dore,
sglossupg,$2a$04$xOGsH0fBRLipDFXHedULSu8mkMllD94RG/t0jtoih7q41hUL6zDnq,dwasmerg@gravatar.com,5.4,9977752033,Kadoma,
grohloffh,$2a$04$I7m7TSL3Xu59rGQAzG7cN.4N208k96O7y7QskkDzSzCV4AFWyB8f6,kcrichleyh@soundcloud.com,74.1,5355680432,Allada,
dmawhinneyi,$2a$04$H8xw2SMqhhqsr.yJCre8Kun53.9j7ByIaO3TXv5rVDJeQ5w03yW6.,mcopoi@cmu.edu,77.4,4881309991,Gutang,
bamangerj,$2a$04$SwCfYfQEXCdJLDPuT0PoC.WwCNSy9qbJqWqW9okUNBXP5JD4uA.LK,wbinneyj@technorati.com,57.5,,Indianapolis,
klonghik,$2a$04$7/tJl2TRhiI1fK7MJlPOZeRE5eKatzvhA6D6F2mRGj3ilYgdCsseK,dperink@cmu.edu,73.2,7747652857,Balingcanaway,
